tournament,start,model,n_matches,log_loss_1x2,rps,brier,accuracy,exact_score_ll,poisson_deviance,coverage90_total_goals,w_ens
EURO 2020,2021-06-11,elo_poisson,51,0.9773084564608286,0.19968380057668597,0.5808327408444419,0.5686274509803921,2.9374647419262407,1.1354469657339203,0.9607843137254902,
EURO 2020,2021-06-11,dixon_coles,51,0.9396079090699314,0.18692002830189985,0.5587646134045746,0.5686274509803921,2.8735670289434747,1.0676724563969577,0.9607843137254902,
EURO 2020,2021-06-11,gbm,51,0.9388019005768568,0.18871684770552988,0.5473629947526399,0.49019607843137253,2.8592973325708697,1.0545831547905256,0.9607843137254902,
EURO 2020,2021-06-11,ensemble,51,0.9305750002019156,0.18545218205081695,0.548014447729167,0.5490196078431373,2.848934799935532,1.039995591654693,0.9607843137254902,0.55
WC 2022,2022-11-20,uniform,64,1.0775031242508484,0.23648522898169763,0.6532863738901876,0.4375,3.121195259205594,1.4220507977388537,0.90625,
WC 2022,2022-11-20,elo_poisson,64,1.0475112599098628,0.2253235010574017,0.6298982273037614,0.5,3.069332790860326,1.3701883126185255,0.90625,
WC 2022,2022-11-20,dixon_coles,64,1.0306924207388477,0.2152466227637727,0.6109527973041218,0.484375,3.0230198068455554,1.3415964971161713,0.90625,
WC 2022,2022-11-20,gbm,64,1.060346061751918,0.22643225787229312,0.632847885773404,0.5,3.04034474751879,1.3430735826437292,0.9375,
WC 2022,2022-11-20,ensemble,64,1.038021509363515,0.21851252801695797,0.6172422539677183,0.46875,3.014568564949709,1.322338887746591,0.90625,0.55
EURO 2024,2024-06-14,uniform,51,1.1104143043217989,0.22342698081415527,0.6738952182182668,0.35294117647058826,2.707175137524469,1.031143729693844,0.9803921568627451,
EURO 2024,2024-06-14,elo_poisson,51,1.0473211772992346,0.20232205569722325,0.6294211468956344,0.47058823529411764,2.614252626060772,0.9382214066257285,1.0,
EURO 2024,2024-06-14,dixon_coles,51,0.992675798943662,0.18723474722604358,0.5944163277261402,0.5294117647058824,2.579264354970731,0.899446876428089,1.0,
EURO 2024,2024-06-14,gbm,51,1.0527643703076104,0.2057599221943628,0.6314257366121986,0.45098039215686275,2.6474965765456293,0.9795233969833795,1.0,
EURO 2024,2024-06-14,ensemble,51,1.012359418211747,0.19304461919350208,0.6054143025695171,0.49019607843137253,2.59447942946898,0.9220304851497659,1.0,0.55
