tournament,date,home_team,away_team,home_score,away_score,p_home,p_draw,p_away,lam_home,lam_away,w_ens
WC 2018,2018-06-25,Spain,Morocco,2,2,0.5107458371332578,0.2758512087325398,0.21340295413420235,1.4888444070569222,0.8840312776576551,0.6000000000000001
WC 2018,2018-06-25,Iran,Portugal,1,1,0.3087656368421776,0.3162682230126399,0.37496614014518254,0.9662027801373265,1.0912598832627385,0.6000000000000001
WC 2018,2018-06-26,Australia,Peru,0,2,0.2749108908668479,0.2895887727434672,0.4355003363896849,0.9885336698646199,1.315791977745984,0.6000000000000001
WC 2018,2018-06-26,Denmark,France,0,0,0.24988742581204904,0.297697356523176,0.45241521766477477,0.8854323921049583,1.2848070103120925,0.6000000000000001
WC 2018,2018-06-26,Nigeria,Argentina,1,2,0.1847111881589249,0.256239601929622,0.559049209911453,0.832822275881515,1.6294899412241286,0.6000000000000001
WC 2018,2018-06-26,Iceland,Croatia,1,2,0.26507943877734386,0.2814260107254589,0.45349455049719745,1.00800879034161,1.4020850461842644,0.6000000000000001
WC 2018,2018-06-27,South Korea,Germany,2,0,0.18890599494092533,0.24327020691882517,0.5678237981402496,0.9203334081157368,1.7602915496099882,0.6000000000000001
WC 2018,2018-06-27,Mexico,Sweden,0,3,0.3857569790635947,0.30237724421756645,0.31186577671883886,1.1685170644562355,1.0208333184488518,0.6000000000000001
WC 2018,2018-06-27,Serbia,Brazil,0,2,0.14713387202319964,0.2326813635840195,0.6201847643927809,0.7741545876863365,1.8289115427694735,0.6000000000000001
WC 2018,2018-06-27,Switzerland,Costa Rica,2,2,0.4588450347495745,0.29995294862134997,0.24120201662907548,1.3135962727349444,0.8475457362977262,0.6000000000000001
WC 2018,2018-06-28,England,Belgium,0,1,0.34323317260329894,0.29168934269364166,0.36507748470305956,1.1412219443213076,1.1950883814490565,0.6000000000000001
WC 2018,2018-06-28,Panama,Tunisia,1,2,0.27921398760373695,0.3093100070303285,0.4114760053659346,0.908536402261134,1.1873541124563642,0.6000000000000001
WC 2018,2018-06-28,Japan,Poland,0,1,0.30457467160837676,0.27155993875643497,0.4238653896351883,1.192147771354771,1.4412919406049172,0.6000000000000001
WC 2018,2018-06-28,Senegal,Colombia,0,1,0.2549969966393091,0.3168416814913303,0.4281613218693605,0.8330131873168103,1.147135912853167,0.6000000000000001
WC 2018,2018-06-30,France,Argentina,4,3,0.3473212079616229,0.2906619652079014,0.36201682683047565,1.1775615862008586,1.1920056055365897,0.6000000000000001
WC 2018,2018-06-30,Uruguay,Portugal,2,1,0.3283910896349031,0.2981144075289591,0.3734945028361381,1.0891627125561658,1.172603607621206,0.6000000000000001
WC 2018,2018-07-01,Russia,Spain,1,1,0.18269430010413823,0.23392974452459905,0.5833759553712625,0.9182000201624861,1.8462474266837021,0.6000000000000001
WC 2018,2018-07-01,Croatia,Denmark,1,1,0.3517302520187912,0.31822067657635217,0.3300490714048566,1.0322720977686477,0.9968939131266896,0.6000000000000001
WC 2018,2018-07-02,Brazil,Mexico,2,0,0.5949627501089974,0.24453860132059577,0.1604986485704068,1.7292983556877501,0.7756264671605504,0.6000000000000001
WC 2018,2018-07-02,Belgium,Japan,3,2,0.5666628128509601,0.23287831805294837,0.20045886909609134,1.8703925286294998,1.0380756673007407,0.6000000000000001
WC 2018,2018-07-03,Colombia,England,1,1,0.3330705646220624,0.3259609192775725,0.3409685161003651,0.968354100575797,0.9993484864304893,0.6000000000000001
WC 2018,2018-07-03,Sweden,Switzerland,1,0,0.2982104233820356,0.3108523344905526,0.39093724212741193,0.950784610156466,1.1582525904111565,0.6000000000000001
WC 2018,2018-07-06,Uruguay,France,0,2,0.3039373256121922,0.292771058722976,0.40329161566483174,1.0565433320534492,1.2531627620077332,0.6000000000000001
WC 2018,2018-07-06,Brazil,Belgium,1,2,0.5173517394757128,0.2546723286781125,0.22797593184617487,1.6553406187952076,1.0260955055163443,0.6000000000000001
WC 2018,2018-07-07,Sweden,England,0,2,0.2523178597081908,0.3088702182561497,0.43881192203565966,0.8439663209146427,1.2118443185403311,0.6000000000000001
WC 2018,2018-07-07,Russia,Croatia,2,2,0.3363013063716481,0.2857481657919058,0.37795052783644617,1.1626900934403432,1.2527569876735205,0.6000000000000001
